id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
16,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,655.0,72.0,325.0,12.3905,85.0,153,727.0
17,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,-225.0,4009.0,325.0,12.3905,85.0,153,3784.0
18,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,552.0,396.0,376.0,13.4286,73.0,152,948.0
19,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152,4097.0
20,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,745.0,148.0,447.0,15.181,73.0,113,893.0
21,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,-922.0,4699.0,447.0,15.181,73.0,113,3777.0
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83,6038.0
24,ADANIENSOL,Mar 2014,,,0.0,0.0,,,0.0,0.0,0.0,0.1,,0,0.0
25,ADANIENSOL,Mar 2015,-5.34,78.0,-0.65,8.9575,1.4247,0.0114,-1899.0,1864.0,0.0,0.0994,0.0,9701,-35.0
26,ADANIENSOL,Mar 2016,16.77,88.0,13.77,3.2129,2.0867,0.1868,728.0,816.0,3.0,0.2429,0.0,8585,1544.0
27,ADANIENSOL,Mar 2017,14.46,69.0,14.12,3.0455,2.2179,0.2245,459.0,1730.0,4.0,0.2679,0.0,8975,2189.0
28,ADANIENSOL,Mar 2018,28.98,72.0,18.87,1.7216,3.3149,0.2284,-994.0,3192.0,10.0,0.5506,0.0,10428,2198.0
29,ADANIENSOL,Mar 2019,7.649999999999999,38.0,6.950000000000001,2.5037,2.2387,0.2244,-459.0,3050.0,5.0,0.7312,0.0,20137,2591.0
30,ADANIENSOL,Mar 2020,6.18,37.0,8.309999999999999,2.8528,2.0192,0.2875,-206.0,5643.0,7.0,0.7726,0.0,24246,5437.0
31,ADANIENSOL,Mar 2021,13.0,40.0,14.46,3.0379,2.3925,0.2296,-225.0,4009.0,11.0,0.8108,0.0,27095,3784.0
32,ADANIENSOL,Mar 2022,10.98,37.0,12.47,3.0164,2.3222,0.2372,161.0,3936.0,11.0,0.9012,0.0,29902,4097.0
33,ADANIENSOL,Mar 2023,9.64,34.0,10.9,2.9168,2.1938,0.2465,-922.0,4699.0,11.0,1.0537,0.0,34270,3777.0
34,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070,6038.0
35,ADANIENT,Mar 2013,2.63,13.0,5.69,3.2404,2.2325,0.4145,-7124.0,14790.0,15.0,19.4509,10.0,69332,7666.0
36,ADANIENT,Mar 2014,4.82,17.0,11.14,3.0298,1.8482,0.4653,221.0,8007.0,20.0,21.5973,7.0,71980,8228.0
37,ADANIENT,Mar 2015,3.56,19.0,8.93,3.2483,1.8767,0.4932,-2933.0,11465.0,18.0,23.3891,8.0,83571,8532.0
38,ADANIENT,Mar 2016,2.94,5.0,7.470000000000001,1.4329,2.0103,0.816,3287.0,1825.0,9.0,12.1618,4.0,19169,5112.0
39,ADANIENT,Mar 2017,2.53,5.0,6.54,1.4747,2.109,0.7673,-686.0,1460.0,9.0,12.8509,4.0,20846,774.0
40,ADANIENT,Mar 2018,1.65,6.0,3.94,1.1689,1.9208,0.6369,-4707.0,7649.0,7.0,13.7173,6.0,17637,2942.0
41,ADANIENT,Mar 2019,1.25,5.0,3.43,0.7619,1.5218,0.9493,5723.0,2487.0,7.0,13.4145,6.0,11243,3236.0
42,ADANIENT,Mar 2020,2.4,5.0,6.140000000000001,0.7328,2.014,0.9259,1372.0,1082.0,10.0,15.4064,10.0,12419,2454.0
43,ADANIENT,Mar 2021,2.65,6.0,6.1,0.9457,2.1786,0.766,-4568.0,8611.0,8.0,15.5991,12.0,16227,4043.0
44,ADANIENT,Mar 2022,1.14,5.0,3.54,1.8693,1.8709,0.6834,-15656.0,17041.0,7.0,20.2336,14.0,41604,1385.0
45,ADANIENT,Mar 2023,1.9,7.0,7.33,1.6096,2.4318,0.9028,2167.0,15459.0,22.0,28.9921,6.0,53200,17626.0
46,ADANIENT,Mar 2024,3.46,12.0,8.53,1.6714,2.7493,0.6004,-8455.0,18767.0,28.0,34.2772,5.0,65310,10312.0
47,ADANIGREEN,Mar 2017,-9.36,80.0,-3.91,3.6135,1.4461,0.0815,-1483.0,1511.0,0.0,0.0944,0.0,4347,28.0
48,ADANIGREEN,Mar 2018,-9.32,57.0,-10.29,7.3557,1.6033,0.0942,-3779.0,4428.0,-1.0,0.0857,0.0,9864,649.0
49,ADANIGREEN,Mar 2019,-23.08,74.0,-24.57,5.7641,1.4264,0.1404,-1041.0,2666.0,-3.0,0.1236,0.0,11142,1625.0
50,ADANIGREEN,Mar 2020,-2.67,57.0,-2.89,6.3072,1.3457,0.1384,-1778.0,3743.0,0.0,0.1507,0.0,14866,1965.0
51,ADANIGREEN,Mar 2021,5.83,72.0,8.27,11.0041,1.3477,0.1089,-7536.0,9137.0,1.0,0.1407,0.0,24209,1601.0
52,ADANIGREEN,Mar 2022,9.53,68.0,18.71,20.2112,1.5357,0.0871,-15603.0,18730.0,3.0,0.1671,0.0,52832,3127.0
53,ADANIGREEN,Mar 2023,12.51,64.0,13.32,7.4237,1.9364,0.1162,3408.0,3857.0,6.0,0.4611,0.0,54223,7265.0
54,ADANIGREEN,Mar 2024,13.67,79.0,12.81,6.5953,1.7139,0.1047,-13347.0,21060.0,7.0,0.6208,0.0,64858,7713.0
55,ADANIPORTS,Mar 2013,45.82,67.0,25.63,1.8173,5.0295,0.17,-3757.0,5136.0,8.0,1.5945,12.0,11620,1379.0
56,ADANIPORTS,Mar 2014,36.05,60.0,19.86,1.4808,3.6888,0.1957,-1378.0,2510.0,8.0,2.1171,12.0,12979,1132.0
57,ADANIPORTS,Mar 2015,37.78,63.0,21.59,1.6513,3.9047,0.1918,572.0,2485.0,11.0,2.6002,10.0,17776,3057.0
58,ADANIPORTS,Mar 2016,40.17,64.0,21.15,1.6544,4.7215,0.1852,-1772.0,4153.0,14.0,3.2621,8.0,22342,2381.0
59,ADANIPORTS,Mar 2017,46.23999999999999,64.0,22.26,1.2675,5.7841,0.1946,1434.0,2629.0,19.0,4.2333,7.0,22214,4063.0
60,ADANIPORTS,Mar 2018,32.59,63.0,17.65,1.0702,5.0671,0.2397,1762.0,3846.0,18.0,5.049,11.0,22370,5608.0
61,ADANIPORTS,Mar 2019,37.03,60.0,16.6,1.137,5.6931,0.194,1661.0,4368.0,19.0,5.887,1.0,27712,6029.0
62,ADANIPORTS,Mar 2020,31.88,50.0,14.87,1.188,4.0364,0.1918,6653.0,749.0,19.0,6.2702,17.0,30242,7402.0
63,ADANIPORTS,Mar 2021,40.23,69.0,16.59,1.1779,4.7251,0.1683,-6508.0,14064.0,25.0,7.4978,20.0,35855,7556.0
64,ADANIPORTS,Mar 2022,28.93,56.0,11.84,1.1462,4.4654,0.1741,4927.0,5493.0,23.0,9.9102,22.0,47935,10420.0
65,ADANIPORTS,Mar 2023,25.85,52.0,11.88,1.1772,4.7711,0.1852,-4816.0,16716.0,25.0,10.5067,20.0,53434,11900.0
66,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0
67,ADANIPORTS,Mar 2013,45.82,67.0,25.63,1.8173,5.0295,0.17,-3757.0,5136.0,8.0,1.5945,12.0,11620,1379.0
68,ADANIPORTS,Mar 2014,36.05,60.0,19.86,1.4808,3.6888,0.1957,-1378.0,2510.0,8.0,2.1171,12.0,12979,1132.0
69,ADANIPORTS,Mar 2015,37.78,63.0,21.59,1.6513,3.9047,0.1918,572.0,2485.0,11.0,2.6002,10.0,17776,3057.0
70,ADANIPORTS,Mar 2016,40.17,64.0,21.15,1.6544,4.7215,0.1852,-1772.0,4153.0,14.0,3.2621,8.0,22342,2381.0
71,ADANIPORTS,Mar 2017,46.23999999999999,64.0,22.26,1.2675,5.7841,0.1946,1434.0,2629.0,19.0,4.2333,7.0,22214,4063.0
72,ADANIPORTS,Mar 2018,32.59,63.0,17.65,1.0702,5.0671,0.2397,1762.0,3846.0,18.0,5.049,11.0,22370,5608.0
73,ADANIPORTS,Mar 2019,37.03,60.0,16.6,1.137,5.6931,0.194,1661.0,4368.0,19.0,5.887,1.0,27712,6029.0
74,ADANIPORTS,Mar 2020,31.88,50.0,14.87,1.188,4.0364,0.1918,6653.0,749.0,19.0,6.2702,17.0,30242,7402.0
75,ADANIPORTS,Mar 2021,40.23,69.0,16.59,1.1779,4.7251,0.1683,-6508.0,14064.0,25.0,7.4978,20.0,35855,7556.0
76,ADANIPORTS,Mar 2022,28.93,56.0,11.84,1.1462,4.4654,0.1741,4927.0,5493.0,23.0,9.9102,22.0,47935,10420.0
77,ADANIPORTS,Mar 2023,25.85,52.0,11.88,1.1772,4.7711,0.1852,-4816.0,16716.0,25.0,10.5067,20.0,53434,11900.0
78,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0
79,ADANIPOWER,Mar 2013,-34.29,14.0,-53.45999999999999,9.7356,0.69,0.1224,-1063.0,4064.0,-10.0,0.1794,0.0,41795,3001.0
80,ADANIPOWER,Mar 2014,-1.9,30.0,-4.45,6.7477,1.1365,0.261,-1462.0,4700.0,-1.0,0.2278,0.0,44150,3238.0
81,ADANIPOWER,Mar 2015,-4.37,25.0,-14.25,7.8152,1.206,0.3195,1087.0,4737.0,-3.0,0.1993,0.0,44742,5824.0
82,ADANIPOWER,Mar 2016,2.17,35.0,7.380000000000001,7.0607,1.5469,0.3348,2565.0,2692.0,2.0,0.224,0.0,52729,5257.0
83,ADANIPOWER,Mar 2017,-27.3,26.0,-205.8,17.4947,0.3921,0.3163,3513.0,1212.0,-16.0,0.0778,0.0,52484,4725.0
84,ADANIPOWER,Mar 2018,-10.36,27.0,-236.56,59.4319,1.1113,0.292,4581.0,520.0,-5.0,0.023,0.0,52835,5101.0
85,ADANIPOWER,Mar 2019,-4.12,21.0,-12.76,6.0918,1.3136,0.3513,4626.0,984.0,-3.0,0.1999,0.0,46980,5610.0
86,ADANIPOWER,Mar 2020,-8.6,22.0,-35.09999999999999,8.517,1.1396,0.3528,3294.0,2304.0,-6.0,0.168,0.0,55199,5598.0
87,ADANIPOWER,Mar 2021,4.84,33.0,9.69,4.0051,2.0754,0.3327,4826.0,2188.0,3.0,0.34,0.0,52519,7014.0
88,ADANIPOWER,Mar 2022,17.73,36.0,26.61,2.6627,3.3673,0.338,11007.0,774.0,13.0,0.4785,0.0,49145,10233.0
89,ADANIPOWER,Mar 2023,27.67,26.0,35.91,1.4175,4.2927,0.4518,9976.0,1545.0,28.0,0.7746,0.0,42350,8431.0
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0
91,AMBUJACEM,Dec 2012,13.25,25.0,14.69,0.0068,32.5897,0.7897,1472.0,388.0,8.0,2.8562,43.0,60,1860.0
92,AMBUJACEM,Dec 2013,13.95,18.0,13.51,0.0051,30.7313,0.7071,771.0,496.0,8.0,3.0621,44.0,48,1267.0
93,AMBUJACEM,Dec 2014,14.94,19.0,14.77,0.0034,35.6515,0.7173,1219.0,456.0,10.0,3.2484,46.0,34,1675.0
94,AMBUJACEM,Dec 2015,8.559999999999999,16.0,7.870000000000001,0.0034,20.5978,0.6677,1474.0,83.0,5.0,3.3132,54.0,35,1557.0
95,AMBUJACEM,Dec 2016,7.140000000000001,16.0,7.23,0.0015,23.6732,0.6122,-1355.0,4165.0,6.0,4.9927,50.0,29,2810.0
96,AMBUJACEM,Dec 2017,8.24,16.0,9.41,0.0012,20.3544,0.6649,2678.0,738.0,8.0,5.2071,47.0,24,3416.0
97,AMBUJACEM,Dec 2018,11.42,15.0,13.29,0.0018,24.9588,0.6965,938.0,765.0,11.0,5.6348,14.0,40,1703.0
98,AMBUJACEM,Dec 2019,10.27,17.0,11.56,0.0017,30.5765,0.6746,3548.0,1191.0,11.0,6.065,14.0,41,4739.0
99,AMBUJACEM,Dec 2020,12.67,20.0,13.65,0.0207,37.8143,0.6173,3515.0,1317.0,12.0,5.7322,151.0,471,4832.0
100,AMBUJACEM,Dec 2021,12.81,21.0,14.64,0.0188,44.2603,0.6407,3302.0,2007.0,14.0,6.3864,45.0,477,5309.0
101,AMBUJACEM,Mar 2024,14.29,19.0,11.43,0.0169,28.2645,0.5081,-3295.0,8941.0,16.0,9.4218,12.0,699,5646.0
102,APOLLOHOSP,Mar 2013,8.04,16.0,11.03,0.4416,6.2621,0.7829,-290.0,733.0,22.0,3.9243,25.0,1213,443.0
103,APOLLOHOSP,Mar 2014,7.23,16.0,10.58,0.4515,5.8319,0.8144,17.0,356.0,23.0,4.2529,25.0,1344,373.0
104,APOLLOHOSP,Mar 2015,6.529999999999999,14.0,10.56,0.628,6.6441,0.7941,-289.0,759.0,24.0,4.5314,24.0,1992,470.0
105,APOLLOHOSP,Mar 2016,3.82,11.0,7.049999999999999,0.8505,4.3111,0.8356,-291.0,888.0,17.0,4.76,35.0,2834,597.0
106,APOLLOHOSP,Mar 2017,1.81,10.0,3.95,0.943,3.0895,0.8955,-529.0,1152.0,16.0,4.7343,38.0,3125,623.0
107,APOLLOHOSP,Mar 2018,0.73,10.0,1.85,1.0538,2.7966,0.9589,132.0,405.0,8.0,4.6457,59.0,3427,537.0
108,APOLLOHOSP,Mar 2019,2.08,11.0,6.0,1.1017,3.3517,1.0492,194.0,711.0,17.0,4.7629,35.0,3673,905.0
109,APOLLOHOSP,Mar 2020,3.84,14.0,12.93,1.0766,3.4015,0.9963,1004.0,289.0,33.0,4.7714,18.0,3596,1293.0
110,APOLLOHOSP,Mar 2021,1.3,11.0,2.98,0.9038,2.7684,0.927,385.0,880.0,10.0,6.3931,29.0,4160,1265.0
111,APOLLOHOSP,Mar 2022,7.56,15.0,19.7,0.7235,6.7467,1.1057,949.0,747.0,73.0,7.8097,16.0,4068,1696.0
112,APOLLOHOSP,Mar 2023,5.08,12.0,13.62,0.6989,5.6168,1.1523,520.0,857.0,57.0,8.6083,26.0,4332,1377.0
113,APOLLOHOSP,Mar 2024,4.91,13.0,13.48,0.7689,5.5657,1.1384,383.0,1537.0,63.0,9.6333,26.0,5333,1920.0
114,ASIANPAINT,Mar 2013,11.04,17.0,34.28,0.0742,44.0714,1.5483,724.0,463.0,12.0,3.525,40.0,251,1187.0
115,ASIANPAINT,Mar 2013,11.04,17.0,34.28,0.0742,44.0714,1.5483,724.0,463.0,12.0,3.525,40.0,251,1187.0
116,ASIANPAINT,Mar 2014,10.34,16.0,31.27,0.0616,44.3333,1.5133,816.0,586.0,13.0,4.2073,42.0,249,1402.0
117,ASIANPAINT,Mar 2014,10.34,16.0,31.27,0.0616,44.3333,1.5133,816.0,586.0,13.0,4.2073,42.0,249,1402.0
118,ASIANPAINT,Mar 2015,10.48,16.0,30.09,0.0881,56.7857,1.5274,723.0,465.0,15.0,4.9396,42.0,418,1188.0
119,ASIANPAINT,Mar 2015,10.48,16.0,30.09,0.0881,56.7857,1.5274,723.0,465.0,15.0,4.9396,42.0,418,1188.0
120,ASIANPAINT,Mar 2016,12.63,19.0,27.63,0.0495,59.9592,1.3515,1377.0,866.0,18.0,6.7969,41.0,323,2243.0
121,ASIANPAINT,Mar 2016,12.63,19.0,27.63,0.0495,59.9592,1.3515,1377.0,866.0,18.0,6.7969,41.0,323,2243.0
122,ASIANPAINT,Mar 2017,13.38,20.0,26.51,0.0736,90.0541,1.2142,846.0,681.0,20.0,7.9208,51.0,560,1527.0
123,ASIANPAINT,Mar 2017,13.38,20.0,26.51,0.0736,90.0541,1.2142,846.0,681.0,20.0,7.9208,51.0,560,1527.0
124,ASIANPAINT,Mar 2018,12.47,19.0,24.95,0.0634,86.3415,1.2225,557.0,1556.0,21.0,8.7604,41.0,533,2113.0
125,ASIANPAINT,Mar 2018,12.47,19.0,24.95,0.0634,86.3415,1.2225,557.0,1556.0,21.0,8.7604,41.0,533,2113.0
126,ASIANPAINT,Mar 2019,11.48,20.0,23.31,0.1394,36.7182,1.1841,1552.0,918.0,22.0,9.8656,47.0,1320,2470.0
127,ASIANPAINT,Mar 2019,11.48,20.0,23.31,0.1394,36.7182,1.1841,1552.0,918.0,22.0,9.8656,47.0,1320,2470.0
128,ASIANPAINT,Mar 2020,13.73,21.0,27.38,0.1104,44.2353,1.2524,2520.0,518.0,28.0,10.5521,43.0,1118,3038.0
129,ASIANPAINT,Mar 2020,13.73,21.0,27.38,0.1104,44.2353,1.2524,2520.0,518.0,28.0,10.5521,43.0,1118,3038.0
130,ASIANPAINT,Mar 2021,14.77,22.0,25.04,0.0854,56.3913,1.0667,3142.0,541.0,33.0,13.3396,55.0,1093,3683.0
131,ASIANPAINT,Mar 2021,14.77,22.0,25.04,0.0854,56.3913,1.0667,3142.0,541.0,33.0,13.3396,55.0,1093,3683.0
132,ASIANPAINT,Mar 2022,10.6,17.0,22.34,0.1149,53.6842,1.2676,669.0,317.0,32.0,14.3875,61.0,1587,986.0
133,ASIANPAINT,Mar 2022,10.6,17.0,22.34,0.1149,53.6842,1.2676,669.0,317.0,32.0,14.3875,61.0,1587,986.0
134,ASIANPAINT,Mar 2023,12.16,18.0,26.23,0.1209,46.4653,1.3379,2911.0,1282.0,43.0,16.6583,60.0,1933,4193.0
135,ASIANPAINT,Mar 2023,12.16,18.0,26.23,0.1209,46.4653,1.3379,2911.0,1282.0,43.0,16.6583,60.0,1933,4193.0
136,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0
137,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0
138,BAJAJ-AUTO,Mar 2013,15.65,18.0,38.85,0.0144,4446.0,1.584,824.0,1394.0,108.0,2.7907,42.0,116,2218.0
139,BAJAJ-AUTO,Mar 2013,15.65,18.0,38.85,0.0144,4446.0,1.584,824.0,1394.0,108.0,2.7907,42.0,116,2218.0
140,BAJAJ-AUTO,Mar 2014,16.79,21.0,33.23999999999999,0.0058,4837.0,1.3155,1430.0,2072.0,117.0,3.518,43.0,59,3502.0
141,BAJAJ-AUTO,Mar 2014,16.79,21.0,33.23999999999999,0.0058,4837.0,1.3155,1430.0,2072.0,117.0,3.518,43.0,59,3502.0
142,BAJAJ-AUTO,Mar 2015,14.01,19.0,27.27,0.0101,726.0,1.3526,1734.0,380.0,105.0,3.8391,48.0,112,2114.0
143,BAJAJ-AUTO,Mar 2015,14.01,19.0,27.27,0.0101,726.0,1.3526,1734.0,380.0,105.0,3.8391,48.0,112,2114.0
144,BAJAJ-AUTO,Mar 2016,17.99,21.0,28.97,0.0084,5987.0,1.3094,3622.0,68.0,140.0,4.8512,39.0,118,3690.0
145,BAJAJ-AUTO,Mar 2016,17.99,21.0,28.97,0.0084,5987.0,1.3094,3622.0,68.0,140.0,4.8512,39.0,118,3690.0
146,BAJAJ-AUTO,Mar 2017,18.75,20.0,22.84,0.0067,5897.0,1.0054,-343.0,3610.0,141.0,6.1785,39.0,120,3267.0
147,BAJAJ-AUTO,Mar 2017,18.75,20.0,22.84,0.0067,5897.0,1.0054,-343.0,3610.0,141.0,6.1785,39.0,120,3267.0
148,BAJAJ-AUTO,Mar 2018,16.74,19.0,20.66,0.0059,6250.0,1.0027,2374.0,1954.0,146.0,7.0675,41.0,121,4328.0
149,BAJAJ-AUTO,Mar 2018,16.74,19.0,20.66,0.0059,6250.0,1.0027,2374.0,1954.0,146.0,7.0675,41.0,121,4328.0
150,BAJAJ-AUTO,Mar 2019,16.23,17.0,21.21,0.0054,1806.5,1.0529,2214.0,273.0,170.0,8.0391,35.0,125,2487.0
151,BAJAJ-AUTO,Mar 2019,16.23,17.0,21.21,0.0054,1806.5,1.0529,2214.0,273.0,170.0,8.0391,35.0,125,2487.0
152,BAJAJ-AUTO,Mar 2020,17.42,17.0,24.06,0.0058,2313.6667,1.1286,5616.0,1766.0,180.0,7.4955,67.0,126,3850.0
153,BAJAJ-AUTO,Mar 2020,17.42,17.0,24.06,0.0058,2313.6667,1.1286,5616.0,1766.0,180.0,7.4955,67.0,126,3850.0
154,BAJAJ-AUTO,Mar 2021,17.51,18.0,17.81,0.0044,929.7143,0.8256,251.0,2869.0,168.0,9.437,83.0,121,3120.0
155,BAJAJ-AUTO,Mar 2021,17.51,18.0,17.81,0.0044,929.7143,0.8256,251.0,2869.0,168.0,9.437,83.0,121,3120.0
156,BAJAJ-AUTO,Mar 2022,18.6,16.0,20.65,0.0041,881.1111,0.944,4473.0,276.0,213.0,10.3318,66.0,123,4197.0
157,BAJAJ-AUTO,Mar 2022,18.6,16.0,20.65,0.0041,881.1111,0.944,4473.0,276.0,213.0,10.3318,66.0,123,4197.0
158,BAJAJ-AUTO,Mar 2023,16.62,18.0,20.64,0.0042,204.2,1.0375,6488.0,1211.0,214.0,10.3753,65.0,124,5277.0
159,BAJAJ-AUTO,Mar 2023,16.62,18.0,20.64,0.0042,204.2,1.0375,6488.0,1211.0,214.0,10.3753,65.0,124,5277.0
160,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0
161,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0
162,AXISBANK,Mar 2013,19.05,1353.0,15.62,8.9346,1.2697,0.0798,-8366.0,10939.0,22.0,7.085,16.0,296254,2573.0
163,AXISBANK,Mar 2014,20.29,2307.0,16.19,8.6801,1.3034,0.0793,298.0,14166.0,26.0,8.1694,15.0,333280,14464.0
164,AXISBANK,Mar 2015,20.74,3097.0,16.37,9.0467,1.3313,0.0759,-23134.0,7972.0,31.0,9.4829,15.0,406638,-15162.0
165,AXISBANK,Mar 2016,20.06,3466.0,15.36,8.8155,1.4273,0.075,-25284.0,9211.0,35.0,11.2283,14.0,472150,-34495.0
166,AXISBANK,Mar 2017,8.260000000000002,-5715.0,6.529999999999999,9.355,2.0353,0.0728,19751.0,12458.0,15.0,11.7704,33.0,527437,32209.0
167,AXISBANK,Mar 2018,0.6,-10277.0,0.43,9.5227,2.6327,0.0651,-48397.0,10007.0,1.0,12.516,0.0,611425,-38390.0
168,AXISBANK,Mar 2019,8.51,-5447.0,6.9,10.5011,2.0674,0.0675,18451.0,18674.0,18.0,13.1911,6.0,711996,37125.0
169,AXISBANK,Mar 2020,2.6,-9859.0,1.88,9.2349,2.2559,0.0675,20931.0,9485.0,6.0,15.3085,0.0,797337,30416.0
170,AXISBANK,Mar 2021,10.4,-2510.0,6.36,8.2104,2.5885,0.0633,-41655.0,54288.0,22.0,16.8995,0.0,850551,12633.0
171,AXISBANK,Mar 2022,19.33,3170.0,11.01,8.633,1.9688,0.0563,1025.0,27112.0,42.0,19.2607,2.0,1020943,28137.0
172,AXISBANK,Mar 2023,11.25,13857.0,7.380000000000001,8.8768,1.8029,0.0633,-10276.0,32351.0,31.0,21.1026,3.0,1152038,22075.0
173,AXISBANK,Mar 2024,22.73,11952.0,15.83,8.2491,1.6912,0.072,-14556.0,9001.0,81.0,25.4494,1.0,1295302,-5555.0
174,BAJAJFINSV,Mar 2013,27.49,49.0,28.38,1.6651,3.2666,0.1232,-3969.0,2953.0,10.0,9.7525,2.0,12991,-6922.0
175,BAJAJFINSV,Mar 2014,36.38,75.0,23.53,2.0948,2.8771,0.081,-6043.0,3764.0,10.0,11.64,2.0,19507,-9807.0
176,BAJAJFINSV,Mar 2015,21.25,49.0,21.72,2.3728,2.4749,0.1285,-7022.0,3709.0,11.0,13.8613,2.0,26312,-10731.0
177,BAJAJFINSV,Mar 2016,13.51,33.0,20.41,2.6518,2.3424,0.1975,-10681.0,886.0,12.0,16.9988,1.0,36062,-9795.0
178,BAJAJFINSV,Mar 2017,14.08,36.0,21.36,2.9894,2.3447,0.1905,-10771.0,151.0,14.0,20.1887,1.0,48282,-10922.0
179,BAJAJFINSV,Mar 2018,12.71,33.0,20.39,3.2073,2.3812,0.2035,-20502.0,922.0,17.0,25.6038,1.0,65695,-19580.0
180,BAJAJFINSV,Mar 2019,12.61,35.0,22.64,4.2019,2.2591,0.2044,-33979.0,6903.0,20.0,29.675,1.0,99754,-27076.0
181,BAJAJFINSV,Mar 2020,11.03,34.0,19.15,4.064,1.9219,0.2163,-33317.0,9948.0,21.0,39.1275,2.0,127212,-23369.0
182,BAJAJFINSV,Mar 2021,12.16,32.0,20.56,3.5853,2.1171,0.2165,863.0,3684.0,28.0,44.7875,1.0,128461,4547.0
183,BAJAJFINSV,Mar 2022,12.15,31.0,20.66,4.0047,2.229,0.2052,-32225.0,1445.0,29.0,50.3088,1.0,161179,-33670.0
184,BAJAJFINSV,Mar 2023,14.88,36.0,26.31,4.574,2.4127,0.2024,-53425.0,13945.0,40.0,29.1868,2.0,212265,-39480.0
