id,company_id,date,open,high,low,close,volume,adjusted_close
2,ABB,2020-02-01,2177.03,2192.92,1931.08,2165.21,1668316,2165.21
3,ABB,2020-03-01,2221.26,2440.28,1995.23,2198.78,20578107,2198.78
4,ABB,2020-04-01,1932.02,2027.44,1740.12,1958.56,14558597,1958.56
5,ABB,2020-05-01,2089.0,2290.96,1878.23,2085.72,44638694,2085.72
6,ABB,2020-06-01,2114.21,2359.95,2101.69,2147.71,15968373,2147.71
7,ABB,2020-07-01,2119.57,2330.49,2065.02,2118.66,446911,2118.66
8,ABB,2020-08-01,1941.12,2063.06,1767.09,1953.81,6081281,1953.81
9,ABB,2020-09-01,1991.32,2085.52,1871.05,1954.44,18245117,1954.44
10,ABB,2020-10-01,2005.26,2255.58,1834.78,2021.36,24912700,2021.36
11,ABB,2020-11-01,2027.54,2080.97,1865.82,2048.88,45422467,2048.88
12,ABB,2020-12-01,2347.71,2433.72,2215.24,2372.19,49283957,2372.19
13,ABB,2021-01-01,2572.11,2651.03,2456.49,2558.57,18452378,2558.57
14,ABB,2021-02-01,2735.79,2914.71,2534.73,2699.58,4605459,2699.58
15,ABB,2021-03-01,2516.52,2603.31,2425.0,2566.14,33910461,2566.14
16,ABB,2021-04-01,2471.98,2670.74,2266.46,2504.61,32294122,2504.61
17,ABB,2021-05-01,2354.51,2661.82,2140.68,2391.49,17119210,2391.49
18,ABB,2021-06-01,2654.68,2932.48,2575.83,2637.8,12971287,2637.8
19,ABB,2021-07-01,2743.08,2884.5,2447.99,2700.18,4745828,2700.18
20,ABB,2021-08-01,2921.22,3259.43,2790.95,2938.95,17017586,2938.95
21,ABB,2021-09-01,3009.47,3389.61,2955.67,3060.38,32137379,3060.38
22,ABB,2021-10-01,3083.76,3232.89,3078.96,3145.51,30360810,3145.51
23,ABB,2021-11-01,3257.09,3266.4,2901.58,3232.28,27481816,3232.28
24,ABB,2021-12-01,3093.21,3381.51,2828.06,3126.06,35637743,3126.06
25,ABB,2022-01-01,3383.86,3649.53,3284.92,3374.64,32914883,3374.64
26,ABB,2022-02-01,3209.01,3308.04,2984.29,3242.21,13333598,3242.21
27,ABB,2022-03-01,3259.98,3612.08,3094.78,3259.64,39761084,3259.64
28,ABB,2022-04-01,3388.84,3605.7,3137.86,3358.95,9842625,3358.95
29,ABB,2022-05-01,3160.22,3537.12,3128.85,3176.72,45751733,3176.72
30,ABB,2022-06-01,3362.05,3339.06,3241.42,3300.45,21466389,3300.45
31,ABB,2022-07-01,3172.96,3493.82,2896.23,3165.76,8557688,3165.76
32,ABB,2022-08-01,2862.8,3238.41,2783.29,2909.68,28546052,2909.68
33,ABB,2022-09-01,2972.83,3263.04,2835.36,2948.94,34881085,2948.94
34,ABB,2022-10-01,2810.63,2913.74,2532.71,2776.2,40487121,2776.2
35,ABB,2022-11-01,2923.94,3172.41,2749.59,2889.75,35128147,2889.75
36,ABB,2022-12-01,3528.41,3973.66,3289.61,3586.66,18841589,3586.66
37,ABB,2023-01-01,3530.85,3733.43,3305.9,3518.07,14398408,3518.07
38,ABB,2023-02-01,3550.57,3618.22,3156.74,3570.53,41147767,3570.53
39,ABB,2023-03-01,3559.97,3962.82,3271.55,3620.01,31182234,3620.01
40,ABB,2023-04-01,3440.94,3475.8,3211.49,3422.12,27077692,3422.12
41,ABB,2023-05-01,2989.26,3336.89,2766.25,3040.53,22004673,3040.53
42,ABB,2023-06-01,3129.29,3144.66,3061.14,3104.95,41815408,3104.95
43,ABB,2023-07-01,2937.39,2991.63,2643.07,2912.39,27506410,2912.39
44,ABB,2023-08-01,2910.49,3121.26,2625.87,2883.06,47747777,2883.06
45,ABB,2023-09-01,3312.81,3463.12,2974.86,3278.99,17863036,3278.99
46,ABB,2023-10-01,3450.33,3555.62,3137.99,3514.9,2395531,3514.9
47,ABB,2023-11-01,3639.79,3870.14,3245.63,3643.65,24631632,3643.65
48,ABB,2023-12-01,3867.28,3961.27,3571.21,3849.44,19985386,3849.44
49,ABB,2024-01-01,3840.29,3980.18,3592.61,3786.3,25206499,3786.3
50,ABB,2024-02-01,3875.82,4171.64,3460.47,3853.86,3621380,3853.86
51,ABB,2024-03-01,3930.94,4351.87,3686.93,3908.54,19469679,3908.54
52,ABB,2024-04-01,3839.69,4090.27,3625.9,3857.26,47079093,3857.26
53,ABB,2024-05-01,3885.34,4031.49,3624.54,3960.87,42259278,3960.87
54,ABB,2024-06-01,3882.81,4236.17,3509.64,3852.49,5996424,3852.49
55,ABB,2024-07-01,4046.07,4471.38,3969.36,4098.96,14173525,4098.96
56,ABB,2024-08-01,4200.79,4605.75,4083.8,4215.52,49526206,4215.52
57,ABB,2024-09-01,4567.83,4798.38,4500.14,4580.84,42934796,4580.84
58,ABB,2024-10-01,4535.94,4877.41,4298.89,4464.06,5245881,4464.06
59,ABB,2024-11-01,4763.3,5077.99,4753.94,4858.36,19521163,4858.36
60,ABB,2024-12-01,5001.51,5451.5,4372.83,4913.07,16033750,4913.07
61,ADANIENSOL,2020-01-01,4798.16,5215.37,4489.84,4831.28,14731217,4831.28
62,ADANIENSOL,2020-02-01,5110.64,5476.37,4863.98,5052.11,39599794,5052.11
63,ADANIENSOL,2020-03-01,5177.99,5182.19,4795.27,5098.92,22132372,5098.92
64,ADANIENSOL,2020-04-01,4926.41,5112.35,4353.14,4875.41,7235284,4875.41
65,ADANIENSOL,2020-05-01,4743.94,4773.81,4482.74,4683.64,3730874,4683.64
66,ADANIENSOL,2020-06-01,4892.37,5219.76,4266.03,4798.96,4333401,4798.96
67,ADANIENSOL,2020-07-01,4474.89,4870.37,4359.98,4429.99,49301453,4429.99
68,ADANIENSOL,2020-08-01,4109.77,4310.89,3645.82,4100.19,38879631,4100.19
69,ADANIENSOL,2020-09-01,4346.73,4448.94,4065.76,4352.18,666546,4352.18
70,ADANIENSOL,2020-10-01,4379.93,4424.44,3888.37,4353.94,5964559,4353.94
71,ADANIENSOL,2020-11-01,4599.99,5058.27,4176.1,4533.15,14357033,4533.15
72,ADANIENSOL,2020-12-01,5089.26,5168.19,4925.21,4995.37,706508,4995.37
73,ADANIENSOL,2021-01-01,5117.21,5205.12,4810.46,5112.49,48468196,5112.49
74,ADANIENSOL,2021-02-01,5193.84,5576.92,4942.86,5167.48,22781599,5167.48
75,ADANIENSOL,2021-03-01,5575.31,5571.95,5000.52,5489.61,47525533,5489.61
76,ADANIENSOL,2021-04-01,5534.98,5941.88,5314.65,5604.9,13941321,5604.9
77,ADANIENSOL,2021-05-01,5042.9,5313.75,4395.39,4946.69,48722300,4946.69
78,ADANIENSOL,2021-06-01,4900.87,5260.23,4544.73,4840.12,15545428,4840.12
79,ADANIENSOL,2021-07-01,4669.39,5137.58,4491.0,4627.61,47495015,4627.61
80,ADANIENSOL,2021-08-01,4880.91,5183.17,4454.53,4810.47,46643151,4810.47
81,ADANIENSOL,2021-09-01,5174.23,5815.6,4661.14,5199.0,29747122,5199.0
82,ADANIENSOL,2021-10-01,5098.24,5700.29,4964.93,5104.63,41932602,5104.63
83,ADANIENSOL,2021-11-01,4760.63,4742.96,4551.21,4667.34,40663760,4667.34
84,ADANIENSOL,2021-12-01,4627.04,5090.02,4278.38,4546.16,38472472,4546.16
85,ADANIENSOL,2022-01-01,4487.84,4735.03,3996.09,4468.86,47707146,4468.86
86,ADANIENSOL,2022-02-01,4654.0,4845.08,4464.72,4680.56,30944599,4680.56
87,ADANIENSOL,2022-03-01,4888.6,5144.8,4651.75,4820.69,26056158,4820.69
88,ADANIENSOL,2022-04-01,4634.44,4981.37,4381.18,4652.4,43845014,4652.4
89,ADANIENSOL,2022-05-01,4784.33,5305.75,4407.89,4879.08,6904936,4879.08
